--------- beginning of main
05-01 01:42:36.561 12237 12237 E godot   : WARNING: Property not found: 'xr/openxr/extensions/hand_tracking'.
05-01 01:42:37.284 12237 12298 I godot   :      decode encode pbm
05-01 01:42:37.284 12237 12298 I godot   :      decode encode pgm
05-01 01:42:37.284 12237 12298 I godot   :      decode encode pgmyuv
05-01 01:42:37.284 12237 12298 I godot   :      decode encode pam
05-01 01:42:37.284 12237 12298 I godot   :      decode encode ffvhuff
05-01 01:42:37.284 12237 12298 I godot   :      decode rv30
05-01 01:42:37.284 12237 12298 I godot   :      decode rv40
05-01 01:42:37.284 12237 12298 I godot   :      decode vc1
05-01 01:42:37.284 12237 12298 I godot   :        codec: vc1_v4l2m2m
05-01 01:42:37.284 12237 12298 I godot   :      decode wmv3
05-01 01:42:37.284 12237 12298 I godot   :      decode loco
05-01 01:42:37.284 12237 12298 I godot   :      decode wnv1
05-01 01:42:37.284 12237 12298 I godot   :      decode aasc
05-01 01:42:37.284 12237 12298 I godot   :      decode indeo2
05-01 01:42:37.284 12237 12298 I godot   :      decode fraps
05-01 01:42:37.284 12237 12298 I godot   :      decode truemotion2
05-01 01:42:37.284 12237 12298 I godot   :      decode encode bmp
05-01 01:42:37.284 12237 12298 I godot   :      decode cscd
05-01 01:42:37.284 12237 12298 I godot   :        codec: camstudio
05-01 01:42:37.284 12237 12298 I godot   :      decode mmvideo
05-01 01:42:37.284 12237 12298 I godot   :      decode encode zmbv
05-01 01:42:37.284 12237 12298 I godot   :      decode avs
05-01 01:42:37.284 12237 12298 I godot   :      decode smackvideo
05-01 01:42:37.284 12237 12298 I godot   :        codec: smackvid
05-01 01:42:37.284 12237 12298 I godot   :      decode nuv
05-01 01:42:37.284 12237 12298 I godot   :      decode kmvc
05-01 01:42:37.284 12237 12298 I godot   :      decode encode flashsv
05-01 01:42:37.284 12237 12298 I godot   :      decode cavs
05-01 01:42:37.285 12237 12298 I godot   :      decode encode jpeg2000
05-01 01:42:37.285 12237 12298 I godot   :      decode vmnc
05-01 01:42:37.285 12237 12298 I godot   :      decode vp5
05-01 01:42:37.285 12237 12298 I godot   :      decode vp6
05-01 01:42:37.285 12237 12298 I godot   :      decode vp6f
05-01 01:42:37.285 12237 12298 I godot   :      decode encode targa
05-01 01:42:37.285 12237 12298 I godot   :      decode dsicinvideo
05-01 01:42:37.285 12237 12298 I godot   :      decode tiertexseqvideo
05-01 01:42:37.285 12237 12298 I godot   :      decode encode tiff
05-01 01:42:37.285 12237 12298 I godot   :      decode encode gif
05-01 01:42:37.285 12237 12298 I godot   :      decode dxa
05-01 01:42:37.285 12237 12298 I godot   :      decode encode dnxhd
05-01 01:42:37.285 12237 12298 I godot   :      decode thp
05-01 01:42:37.285 12237 12298 I godot   :      decode encode sgi
05-01 01:42:37.285 12237 12298 I godot   :      decode c93
05-01 01:42:37.285 12237 12298 I godot   :      decode bethsoftvid
05-01 01:42:37.285 12237 12298 I godot   :      decode ptx
05-01 01:42:37.285 12237 12298 I godot   :      decode txd
05-01 01:42:37.285 12237 12298 I godot   :      decode vp6a
05-01 01:42:37.285 12237 12298 I godot   :      decode encode amv
05-01 01:42:37.285 12237 12298 I godot   :      decode vb
05-01 01:42:37.285 12237 12298 I godot   :      decode encode pcx
05-01 01:42:37.285 12237 12298 I godot   :      decode encode sunrast
05-01 01:42:37.285 12237 12298 I godot   :      decode indeo4
05-01 01:42:37.285 12237 12298 I godot   :      decode indeo5
05-01 01:42:37.285 12237 12298 I godot   :      decode mimic
05-01 01:42:37.285 12237 12298 I godot   :      decode rl2
05-01 01:42:37.285 12237 12298 I godot   :      decode escape124
05-01 01:42:37.285 12237 12298 I godot   :      decode encode dirac
05-01 01:42:37.285 12237 12298 I godot   :      decode bfi
05-01 01:42:37.285 12237 12298 I godot   :      decode cmv
05-01 01:42:37.285 12237 12298 I godot   :        codec: eacmv
05-01 01:42:37.285 12237 12298 I godot   :      decode motionpixels
05-01 01:42:37.285 12237 12298 I godot   :      decode tgv
05-01 01:42:37.285 12237 12298 I godot   :        codec: eatgv
05-01 01:42:37.285 12237 12298 I godot   :      decode tgq
05-01 01:42:37.285 12237 12298 I godot   :        codec: eatgq
05-01 01:42:37.285 12237 12298 I godot   :      decode tqi
05-01 01:42:37.285 12237 12298 I godot   :        codec: eatqi
05-01 01:42:37.285 12237 12298 I godot   :      decode aura
05-01 01:42:37.285 12237 12298 I godot   :      decode aura2
05-01 01:42:37.285 12237 12298 I godot   :      decode v210x
05-01 01:42:37.285 12237 12298 I godot   :      decode tmv
05-01 01:42:37.285 12237 12298 I godot   :      decode encode v210
05-01 01:42:37.285 12237 12298 I godot   :      decode encode dpx
05-01 01:42:37.285 12237 12298 I godot   :      decode mad
05-01 01:42:37.285 12237 12298 I godot   :        codec: eamad
05-01 01:42:37.285 12237 12298 I godot   :      decode frwu
05-01 01:42:37.285 12237 12298 I godot   :      decode encode flashsv2
05-01 01:42:37.285 12237 12298 I godot   :      decode cdgraphics
05-01 01:42:37.285 12237 12298 I godot   :      decode encode r210
05-01 01:42:37.285 12237 12298 I godot   :      decode anm
05-01 01:42:37.285 12237 12298 I godot   :      decode binkvideo
05-01 01:42:37.285 12237 12298 I godot   :      decode iff_ilbm
05-01 01:42:37.285 12237 12298 I godot   :        codec: iff
05-01 01:42:37.285 12237 12298 I godot   :      decode kgv1
05-01 01:42:37.286 12237 12298 I godot   :      decode yop
05-01 01:42:37.286 12237 12298 I godot   :      decode encode vp8
05-01 01:42:37.286 12237 12298 I godot   :        codec: vp8_v4l2m2m
05-01 01:42:37.286 12237 12298 I godot   :        codec: libvpx
05-01 01:42:37.286 12237 12298 I godot   :        codec: vp8_mediacodec
05-01 01:42:37.286 12237 12298 I godot   :      decode pictor
05-01 01:42:37.286 12237 12298 I godot   :      decode ansi
05-01 01:42:37.286 12237 12298 I godot   :      decode encode r10k
05-01 01:42:37.286 12237 12298 I godot   :      decode mxpeg
05-01 01:42:37.286 12237 12298 I godot   :      decode lagarith
05-01 01:42:37.286 12237 12298 I godot   :      decode encode prores
05-01 01:42:37.286 12237 12298 I godot   :      decode jv
05-01 01:42:37.286 12237 12298 I godot   :      decode dfa
05-01 01:42:37.286 12237 12298 I godot   :      decode wmv3image
05-01 01:42:37.286 12237 12298 I godot   :      decode vc1image
05-01 01:42:37.286 12237 12298 I godot   :      decode encode utvideo
05-01 01:42:37.286 12237 12298 I godot   :      decode bmv_video
05-01 01:42:37.286 12237 12298 I godot   :      decode vble
05-01 01:42:37.286 12237 12298 I godot   :      decode dxtory
05-01 01:42:37.286 12237 12298 I godot   :      decode encode v410
05-01 01:42:37.286 12237 12298 I godot   :      decode encode xwd
05-01 01:42:37.286 12237 12298 I godot   :      decode cdxl
05-01 01:42:37.286 12237 12298 I godot   :      decode encode xbm
05-01 01:42:37.286 12237 12298 I godot   :      decode zerocodec
05-01 01:42:37.286 12237 12298 I godot   :      decode mss1
05-01 01:42:37.286 12237 12298 I godot   :      decode msa1
05-01 01:42:37.286 12237 12298 I godot   :      decode tscc2
05-01 01:42:37.286 12237 12298 I godot   :      decode mts2
05-01 01:42:37.286 12237 12298 I godot   :      decode cllc
05-01 01:42:37.286 12237 12298 I godot   :      decode mss2
05-01 01:42:37.286 12237 12298 I godot   :      decode encode vp9
05-01 01:42:37.286 12237 12298 I godot   :        codec: vp9_v4l2m2m
05-01 01:42:37.286 12237 12298 I godot   :        codec: libvpx-vp9
05-01 01:42:37.286 12237 12298 I godot   :        codec: vp9_mediacodec
05-01 01:42:37.286 12237 12298 I godot   :      decode aic
05-01 01:42:37.286 12237 12298 I godot   :      decode escape130
05-01 01:42:37.286 12237 12298 I godot   :      decode g2m
05-01 01:42:37.286 12237 12298 I godot   :      decode encode webp
05-01 01:42:37.286 12237 12298 I godot   :      decode hnm4video
05-01 01:42:37.286 12237 12298 I godot   :      decode encode hevc
05-01 01:42:37.286 12237 12298 I godot   :        codec: hevc_v4l2m2m
05-01 01:42:37.286 12237 12298 I godot   :        codec: hevc_mediacodec
05-01 01:42:37.286 12237 12298 I godot   :      decode fic
05-01 01:42:37.286 12237 12298 I godot   :      decode encode alias_pix
05-01 01:42:37.286 12237 12298 I godot   :      decode brender_pix
05-01 01:42:37.286 12237 12298 I godot   :      decode paf_video
05-01 01:42:37.286 12237 12298 I godot   :      decode encode exr
05-01 01:42:37.286 12237 12298 I godot   :      decode vp7
05-01 01:42:37.286 12237 12298 I godot   :      decode sanm
05-01 01:42:37.286 12237 12298 I godot   :      decode sgirle
05-01 01:42:37.286 12237 12298 I godot   :      decode mvc1
05-01 01:42:37.286 12237 12298 I godot   :      decode mvc2
05-01 01:42:37.287 12237 12298 I godot   :      decode hqx
05-01 01:42:37.287 12237 12298 I godot   :      decode tdsc
05-01 01:42:37.287 12237 12298 I godot   :      decode hq_hqa
05-01 01:42:37.287 12237 12298 I godot   :      decode hap
05-01 01:42:37.287 12237 12298 I godot   :      decode dds
05-01 01:42:37.287 12237 12298 I godot   :      decode dxv
05-01 01:42:37.287 12237 12298 I godot   :      decode screenpresso
05-01 01:42:37.287 12237 12298 I godot   :      decode rscc
05-01 01:42:37.287 12237 12298 I godot   :      decode pgx
05-01 01:42:37.287 12237 12298 I godot   :      decode msp2
05-01 01:42:37.287 12237 12298 I godot   :      decode encode y41p
05-01 01:42:37.287 12237 12298 I godot   :      decode encode avrp
05-01 01:42:37.287 12237 12298 I godot   :      decode 012v
05-01 01:42:37.287 12237 12298 I godot   :      decode encode avui
05-01 01:42:37.287 12237 12298 I godot   :      decode encode ayuv
05-01 01:42:37.287 12237 12298 I godot   :      decode targa_y216
05-01 01:42:37.287 12237 12298 I godot   :      decode encode v308
05-01 01:42:37.287 12237 12298 I godot   :      decode encode v408
05-01 01:42:37.287 12237 12298 I godot   :      decode encode yuv4
05-01 01:42:37.287 12237 12298 I godot   :      decode avrn
05-01 01:42:37.287 12237 12298 I godot   :      decode cpia
05-01 01:42:37.287 12237 12298 I godot   :      decode encode xface
05-01 01:42:37.287 12237 12298 I godot   :      decode encode snow
05-01 01:42:37.287 12237 12298 I godot   :      decode smvjpeg
05-01 01:42:37.287 12237 12298 I godot   :      decode encode apng
05-01 01:42:37.287 12237 12298 I godot   :      decode encode cfhd
05-01 01:42:37.287 12237 12298 I godot   :      decode truemotion2rt
05-01 01:42:37.287 12237 12298 I godot   :      decode m101
05-01 01:42:37.287 12237 12298 I godot   :      decode encode magicyuv
05-01 01:42:37.287 12237 12298 I godot   :      decode sheervideo
05-01 01:42:37.287 12237 12298 I godot   :      decode ylc
05-01 01:42:37.287 12237 12298 I godot   :      decode psd
05-01 01:42:37.287 12237 12298 I godot   :      decode pixlet
05-01 01:42:37.287 12237 12298 I godot   :      decode encode speedhq
05-01 01:42:37.287 12237 12298 I godot   :      decode fmvc
05-01 01:42:37.287 12237 12298 I godot   :      decode scpr
05-01 01:42:37.287 12237 12298 I godot   :      decode clearvideo
05-01 01:42:37.288 12237 12298 I godot   :      decode xpm
05-01 01:42:37.288 12237 12298 I godot   :      decode encode av1
05-01 01:42:37.288 12237 12298 I godot   :        codec: libaom-av1
05-01 01:42:37.288 12237 12298 I godot   :        codec: av1_mediacodec
05-01 01:42:37.288 12237 12298 I godot   :      decode encode bitpacked
05-01 01:42:37.288 12237 12298 I godot   :      decode mscc
05-01 01:42:37.288 12237 12298 I godot   :      decode srgc
05-01 01:42:37.288 12237 12298 I godot   :      decode gdv
05-01 01:42:37.288 12237 12298 I godot   :      decode encode fits
05-01 01:42:37.288 12237 12298 I godot   :      decode imm4
05-01 01:42:37.288 12237 12298 I godot   :      decode prosumer
05-01 01:42:37.288 12237 12298 I godot   :      decode mwsc
05-01 01:42:37.288 12237 12298 I godot   :      decode wcmv
05-01 01:42:37.288 12237 12298 I godot   :      decode rasc
05-01 01:42:37.288 12237 12298 I godot   :      decode hymt
05-01 01:42:37.288 12237 12298 I godot   :      decode arbc
05-01 01:42:37.288 12237 12298 I godot   :      decode agm
05-01 01:42:37.288 12237 12298 I godot   :      decode lscr
05-01 01:42:37.288 12237 12298 I godot   :      decode vp4
05-01 01:42:37.288 12237 12298 I godot   :      decode imm5
05-01 01:42:37.288 12237 12298 I godot   :      decode mvdv
05-01 01:42:37.288 12237 12298 I godot   :      decode mvha
05-01 01:42:37.288 12237 12298 I godot   :      decode cdtoons
05-01 01:42:37.288 12237 12298 I godot   :      decode mv30
05-01 01:42:37.288 12237 12298 I godot   :      decode notchlc
05-01 01:42:37.288 12237 12298 I godot   :      decode encode pfm
05-01 01:42:37.288 12237 12298 I godot   :      decode mobiclip
05-01 01:42:37.288 12237 12298 I godot   :      decode photocd
05-01 01:42:37.288 12237 12298 I godot   :      decode ipu
05-01 01:42:37.288 12237 12298 I godot   :      decode argo
05-01 01:42:37.288 12237 12298 I godot   :      decode cri
05-01 01:42:37.288 12237 12298 I godot   :      decode simbiosis_imx
05-01 01:42:37.288 12237 12298 I godot   :      decode sga
05-01 01:42:37.288 12237 12298 I godot   :      decode gem
05-01 01:42:37.288 12237 12298 I godot   :      decode encode vbn
05-01 01:42:37.288 12237 12298 I godot   :      decode encode qoi
05-01 01:42:37.288 12237 12298 I godot   :      decode encode phm
05-01 01:42:37.288 12237 12298 I godot   :      decode encode hdr
05-01 01:42:37.288 12237 12298 I godot   :      decode encode wbmp
05-01 01:42:37.288 12237 12298 I godot   :      decode media100
05-01 01:42:37.288 12237 12298 I godot   :      decode vqc
05-01 01:42:37.289 12237 12298 I godot   :      decode encode pcm_s16le
05-01 01:42:37.289 12237 12298 I godot   :      decode encode pcm_s16be
05-01 01:42:37.289 12237 12298 I godot   :      decode encode pcm_u16le
05-01 01:42:37.289 12237 12298 I godot   :      decode encode pcm_u16be
05-01 01:42:37.289 12237 12298 I godot   :      decode encode pcm_s8
05-01 01:42:37.289 12237 12298 I godot   :      decode encode pcm_u8
05-01 01:42:37.289 12237 12298 I godot   :      decode encode pcm_mulaw
05-01 01:42:37.289 12237 12298 I godot   :      decode encode pcm_alaw
05-01 01:42:37.289 12237 12298 I godot   :      decode encode pcm_s32le
05-01 01:42:37.289 12237 12298 I godot   :      decode encode pcm_s32be
05-01 01:42:37.289 12237 12298 I godot   :      decode encode pcm_u32le
05-01 01:42:37.289 12237 12298 I godot   :      decode encode pcm_u32be
05-01 01:42:37.289 12237 12298 I godot   :      decode encode pcm_s24le
05-01 01:42:37.289 12237 12298 I godot   :      decode encode pcm_s24be
05-01 01:42:37.289 12237 12298 I godot   :      decode encode pcm_u24le
05-01 01:42:37.289 12237 12298 I godot   :      decode encode pcm_u24be
05-01 01:42:37.289 12237 12298 I godot   :      decode encode pcm_s24daud
05-01 01:42:37.289 12237 12298 I godot   :      decode encode pcm_s16le_planar
05-01 01:42:37.289 12237 12298 I godot   :      decode encode pcm_dvd
05-01 01:42:37.289 12237 12298 I godot   :      decode encode pcm_f32be
05-01 01:42:37.289 12237 12298 I godot   :      decode encode pcm_f32le
05-01 01:42:37.289 12237 12298 I godot   :      decode encode pcm_f64be
05-01 01:42:37.289 12237 12298 I godot   :      decode encode pcm_f64le
05-01 01:42:37.289 12237 12298 I godot   :      decode encode pcm_bluray
05-01 01:42:37.289 12237 12298 I godot   :      decode pcm_lxf
05-01 01:42:37.289 12237 12298 I godot   :      decode encode s302m
05-01 01:42:37.289 12237 12298 I godot   :      decode encode pcm_s8_planar
05-01 01:42:37.289 12237 12298 I godot   :      decode encode pcm_s24le_planar
05-01 01:42:37.289 12237 12298 I godot   :      decode encode pcm_s32le_planar
05-01 01:42:37.289 12237 12298 I godot   :      decode encode pcm_s16be_planar
05-01 01:42:37.289 12237 12298 I godot   :      decode encode pcm_s64le
05-01 01:42:37.289 12237 12298 I godot   :      decode encode pcm_s64be
05-01 01:42:37.289 12237 12298 I godot   :      decode pcm_f16le
05-01 01:42:37.289 12237 12298 I godot   :      decode pcm_f24le
05-01 01:42:37.289 12237 12298 I godot   :      decode encode pcm_vidc
05-01 01:42:37.289 12237 12298 I godot   :      decode pcm_sga
05-01 01:42:37.289 12237 12298 I godot   :      decode encode adpcm_ima_qt
05-01 01:42:37.289 12237 12298 I godot   :      decode encode adpcm_ima_wav
05-01 01:42:37.289 12237 12298 I godot   :      decode adpcm_ima_dk3
05-01 01:42:37.289 12237 12298 I godot   :      decode adpcm_ima_dk4
05-01 01:42:37.289 12237 12298 I godot   :      decode encode adpcm_ima_ws
05-01 01:42:37.289 12237 12298 I godot   :      decode adpcm_ima_smjpeg
05-01 01:42:37.289 12237 12298 I godot   :      decode encode adpcm_ms
05-01 01:42:37.289 12237 12298 I godot   :      decode adpcm_4xm
05-01 01:42:37.289 12237 12298 I godot   :      decode adpcm_xa
05-01 01:42:37.290 12237 12298 I godot   :      decode encode adpcm_adx
05-01 01:42:37.290 12237 12298 I godot   :      decode adpcm_ea
05-01 01:42:37.290 12237 12298 I godot   :      decode encode adpcm_g726
05-01 01:42:37.290 12237 12298 I godot   :        codec: g726
05-01 01:42:37.290 12237 12298 I godot   :      decode adpcm_ct
05-01 01:42:37.290 12237 12298 I godot   :      decode encode adpcm_swf
05-01 01:42:37.290 12237 12298 I godot   :      decode encode adpcm_yamaha
05-01 01:42:37.290 12237 12298 I godot   :      decode adpcm_sbpro_4
05-01 01:42:37.290 12237 12298 I godot   :      decode adpcm_sbpro_3
05-01 01:42:37.290 12237 12298 I godot   :      decode adpcm_sbpro_2
05-01 01:42:37.290 12237 12298 I godot   :      decode adpcm_thp
05-01 01:42:37.290 12237 12298 I godot   :      decode encode adpcm_ima_amv
05-01 01:42:37.290 12237 12298 I godot   :      decode adpcm_ea_r1
05-01 01:42:37.290 12237 12298 I godot   :      decode adpcm_ea_r3
05-01 01:42:37.290 12237 12298 I godot   :      decode adpcm_ea_r2
05-01 01:42:37.290 12237 12298 I godot   :      decode adpcm_ima_ea_sead
05-01 01:42:37.290 12237 12298 I godot   :      decode adpcm_ima_ea_eacs
05-01 01:42:37.290 12237 12298 I godot   :      decode adpcm_ea_xas
05-01 01:42:37.290 12237 12298 I godot   :      decode adpcm_ea_maxis_xa
05-01 01:42:37.290 12237 12298 I godot   :      decode adpcm_ima_iss
05-01 01:42:37.290 12237 12298 I godot   :      decode encode adpcm_g722
05-01 01:42:37.290 12237 12298 I godot   :        codec: g722
05-01 01:42:37.290 12237 12298 I godot   :      decode adpcm_ima_apc
05-01 01:42:37.290 12237 12298 I godot   :      decode adpcm_vima
05-01 01:42:37.290 12237 12298 I godot   :      decode adpcm_afc
05-01 01:42:37.290 12237 12298 I godot   :      decode adpcm_ima_oki
05-01 01:42:37.290 12237 12298 I godot   :      decode adpcm_dtk
05-01 01:42:37.290 12237 12298 I godot   :      decode adpcm_ima_rad
05-01 01:42:37.290 12237 12298 I godot   :      decode encode adpcm_g726le
05-01 01:42:37.290 12237 12298 I godot   :        codec: g726le
05-01 01:42:37.290 12237 12298 I godot   :      decode adpcm_thp_le
05-01 01:42:37.290 12237 12298 I godot   :      decode adpcm_psx
05-01 01:42:37.290 12237 12298 I godot   :      decode adpcm_aica
05-01 01:42:37.290 12237 12298 I godot   :      decode adpcm_ima_dat4
05-01 01:42:37.290 12237 12298 I godot   :      decode adpcm_mtaf
05-01 01:42:37.290 12237 12298 I godot   :      decode adpcm_agm
05-01 01:42:37.290 12237 12298 I godot   :      decode encode adpcm_argo
05-01 01:42:37.290 12237 12298 I godot   :      decode encode adpcm_ima_ssi
05-01 01:42:37.290 12237 12298 I godot   :      decode adpcm_zork
05-01 01:42:37.290 12237 12298 I godot   :      decode encode adpcm_ima_apm
05-01 01:42:37.290 12237 12298 I godot   :      decode encode adpcm_ima_alp
05-01 01:42:37.290 12237 12298 I godot   :      decode adpcm_ima_mtf
05-01 01:42:37.290 12237 12298 I godot   :      decode adpcm_ima_cunning
05-01 01:42:37.290 12237 12298 I godot   :      decode adpcm_ima_moflex
05-01 01:42:37.291 12237 12298 I godot   :      decode adpcm_ima_acorn
05-01 01:42:37.291 12237 12298 I godot   :      decode adpcm_xmd
05-01 01:42:37.291 12237 12298 I godot   :      decode encode amr_nb
05-01 01:42:37.291 12237 12298 I godot   :        codec: amrnb
05-01 01:42:37.291 12237 12298 I godot   :        codec: libopencore_amrnb
05-01 01:42:37.291 12237 12298 I godot   :      decode encode amr_wb
05-01 01:42:37.291 12237 12298 I godot   :        codec: amrwb
05-01 01:42:37.291 12237 12298 I godot   :        codec: libopencore_amrwb
05-01 01:42:37.291 12237 12298 I godot   :      decode encode ra_144
05-01 01:42:37.291 12237 12298 I godot   :        codec: real_144
05-01 01:42:37.291 12237 12298 I godot   :      decode ra_288
05-01 01:42:37.291 12237 12298 I godot   :        codec: real_288
05-01 01:42:37.291 12237 12298 I godot   :      decode encode roq_dpcm
05-01 01:42:37.291 12237 12298 I godot   :      decode interplay_dpcm
05-01 01:42:37.291 12237 12298 I godot   :      decode xan_dpcm
05-01 01:42:37.291 12237 12298 I godot   :      decode sol_dpcm
05-01 01:42:37.291 12237 12298 I godot   :      decode sdx2_dpcm
05-01 01:42:37.291 12237 12298 I godot   :      decode gremlin_dpcm
05-01 01:42:37.291 12237 12298 I godot   :      decode derf_dpcm
05-01 01:42:37.291 12237 12298 I godot   :      decode wady_dpcm
05-01 01:42:37.291 12237 12298 I godot   :      decode cbd2_dpcm
05-01 01:42:37.291 12237 12298 I godot   :      decode encode mp2
05-01 01:42:37.291 12237 12298 I godot   :        codec: mp2float
